#KSP	path_length	path
1	5.06771e+00	P98082|O75581
2	1.01354e+01	P25054|O15169|O75197
3	1.01354e+01	P25054|O15169|O75581
4	1.01354e+01	P25054|P49841|Q01974
5	1.01354e+01	P35222|O15169|O75197
6	1.01354e+01	P35222|O15169|O75581
7	1.01354e+01	P35222|P19022|O75197
8	1.01354e+01	P35222|P19022|O75581
9	1.01354e+01	P98082|O15169|O75197
10	1.01354e+01	P98082|O15169|O75581
11	1.01354e+01	P98082|P13569|P34925
12	1.02756e+01	P35222|O94907|O75197
13	1.02756e+01	P35222|O94907|O75581
14	1.02756e+01	P98082|O43318|Q01974
15	1.03321e+01	Q15797|P62979|O75581
16	1.03321e+01	Q15797|P62987|O75581
17	1.03805e+01	P25054|O14640|P34925
18	1.03805e+01	P25054|O14640|Q01974
19	1.03805e+01	P25054|P49840|O75581
20	1.03805e+01	P25054|O14641|Q01974
21	1.03805e+01	P25054|P49840|Q01974
22	1.03805e+01	P35222|P48729|O75581
23	1.03805e+01	P35222|P49840|O75581
24	1.03805e+01	P35222|P01106|Q01973
25	1.03805e+01	P35222|P49840|Q01974
26	1.03805e+01	P98082|Q92997|Q01974
27	1.03805e+01	Q13469|P48729|O75581
28	1.03805e+01	Q15797|O14640|P34925
29	1.03805e+01	Q15797|O14640|Q01974
30	1.05207e+01	Q9NQB0|P01106|Q01973
31	1.06095e+01	P25054|P49841|Q13467
32	1.06257e+01	P25054|P48729|O75581
33	1.06257e+01	P25054|P21333|Q01974
34	1.07038e+01	P25054|Q92997|Q01974
35	1.08547e+01	Q15797|Q92765|O00144
36	1.08547e+01	Q15797|Q92765|O75084
37	1.08547e+01	Q15797|Q92765|Q13467
38	1.08547e+01	Q15797|Q92765|Q14332
39	1.08547e+01	Q15797|Q92765|Q9H461
40	1.08547e+01	Q15797|Q92765|Q9NPG1
41	1.08547e+01	Q15797|Q92765|Q9ULW2
42	1.08547e+01	Q15797|Q92765|Q9UP38
43	1.52031e+01	P15884|O15105|O15169|O75197
44	1.52031e+01	P15884|O15105|O15169|O75581
45	1.52031e+01	P15884|P10275|P49841|Q01974
46	1.52031e+01	P15884|Q06455|Q9NRR5|O75084
47	1.52031e+01	P25054|O14640|O15169|O75197
48	1.52031e+01	P25054|O14640|O15169|O75581
49	1.52031e+01	P25054|O14640|P49841|Q01974
50	1.52031e+01	P25054|O14640|Q92837|O75197
51	1.52031e+01	P25054|O14641|O15169|O75197
52	1.52031e+01	P25054|O14641|O15169|O75581
53	1.52031e+01	P25054|O14641|P49841|Q01974
54	1.52031e+01	P25054|O15169|P19022|O75197
55	1.52031e+01	P25054|O15169|P19022|O75581
56	1.52031e+01	P25054|O15169|P49840|O75581
57	1.52031e+01	P25054|O15169|P49840|Q01974
58	1.52031e+01	P25054|O15169|P49841|Q01974
59	1.52031e+01	P25054|O15169|Q92837|O75197
60	1.52031e+01	P25054|P14923|P19022|O75197
61	1.52031e+01	P25054|P14923|P19022|O75581
62	1.52031e+01	P25054|P49841|O15169|O75197
63	1.52031e+01	P25054|P49841|O15169|O75581
64	1.52031e+01	P25054|P49841|P49840|O75581
65	1.52031e+01	P25054|P49841|P49840|Q01974
66	1.52031e+01	P25054|P49841|Q92837|O75197
67	1.52031e+01	P25054|P49841|Q9Y4X0|O75581
68	1.52031e+01	P25054|P63104|P49841|Q01974
69	1.52031e+01	P25054|P31947|P61981|Q07954
70	1.52031e+01	P25054|Q13418|P49841|Q01974
71	1.52031e+01	P25054|Q9Y297|O15169|O75197
72	1.52031e+01	P25054|Q9Y297|O15169|O75581
73	1.52031e+01	P25054|Q9Y297|P49841|Q01974
74	1.52031e+01	P25054|Q9Y2T1|P49841|Q01974
75	1.52031e+01	P25054|Q9Y2T1|Q9Y4X0|O75581
76	1.52031e+01	P35222|O15105|O15169|O75197
77	1.52031e+01	P35222|O15105|O15169|O75581
78	1.52031e+01	P35222|O15169|P19022|O75197
79	1.52031e+01	P35222|O15169|P19022|O75581
80	1.52031e+01	P35222|O15169|P49840|O75581
81	1.52031e+01	P35222|O15169|P49840|Q01974
82	1.52031e+01	P35222|O15169|P49841|Q01974
83	1.52031e+01	P35222|O15169|Q92837|O75197
84	1.52031e+01	P35222|P08575|P19022|O75197
85	1.52031e+01	P35222|P08575|P19022|O75581
86	1.52031e+01	P35222|P14923|P19022|O75197
87	1.52031e+01	P35222|P14923|P19022|O75581
88	1.52031e+01	P35222|P19022|O15169|O75197
89	1.52031e+01	P35222|P19022|O15169|O75581
90	1.52031e+01	P35222|P23470|P19022|O75197
91	1.52031e+01	P35222|P23470|P19022|O75581
92	1.52031e+01	P35222|P31749|O15169|O75197
93	1.52031e+01	P35222|O14745|P13569|P34925
94	1.52031e+01	P35222|P12830|P13569|P34925
95	1.52031e+01	P35222|P31749|O15169|O75581
96	1.52031e+01	P35222|P31749|P49840|O75581
97	1.52031e+01	P35222|P31749|P49840|Q01974
98	1.52031e+01	P35222|P31749|P49841|Q01974
99	1.52031e+01	P35222|P31751|P49840|O75581
100	1.52031e+01	P35222|P31751|P49840|Q01974
101	1.52031e+01	P35222|P31751|P49841|Q01974
102	1.52031e+01	P35222|P48729|O15169|O75197
103	1.52031e+01	P35222|P48729|O15169|O75581
104	1.52031e+01	P35222|P50402|P13569|P34925
105	1.52031e+01	P35222|P84022|O15169|O75197
106	1.52031e+01	P35222|P10275|P49841|Q01974
107	1.52031e+01	P35222|P15941|P49841|Q01974
108	1.52031e+01	P35222|P19838|P49841|Q01974
109	1.52031e+01	P35222|P35637|P49841|Q01974
110	1.52031e+01	P35222|P42336|P49841|Q01974
111	1.52031e+01	P35222|P63104|P49841|Q01974
112	1.52031e+01	P35222|P84022|O15169|O75581
113	1.52031e+01	P35222|Q05209|P19022|O75197
114	1.52031e+01	P35222|P00519|P61981|Q07954
